dimension,precision_at_5,precision_at_10,precision_at_15
16,0.7609375,0.7791015625000001,0.7954427083333334
32,0.802734375,0.8203125000000001,0.8303385416666669
48,0.8308593750000001,0.8498046875000002,0.8561197916666669
64,0.8570312500000001,0.8748046875000002,0.8796875000000002
80,0.8730468750000001,0.8939453125000001,0.8985677083333334
96,0.8910156250000001,0.9083984375000002,0.9187500000000002
112,0.9039062500000001,0.9259765625,0.9312500000000001
128,0.9234375000000001,0.9384765625000002,0.9427083333333335
144,0.9375,0.9484375,0.9546875000000001
160,0.9496093750000001,0.9548828125000001,0.9606770833333333
176,0.960546875,0.962109375,0.9683593750000001
192,0.9632812500000001,0.9712890625000001,0.9729166666666668
208,0.9710937500000001,0.9763671875000002,0.9759114583333335
224,0.979296875,0.9808593750000001,0.9808593750000001
240,0.9828125000000001,0.9826171875,0.9839843750000001
256,0.9859375,0.983984375,0.9868489583333333
272,0.986328125,0.9865234375,0.990234375
288,0.991015625,0.98984375,0.9912760416666666
304,0.9945312500000001,0.990234375,0.9925781250000001
320,0.9945312500000001,0.9921875,0.9938802083333333
336,0.994921875,0.993359375,0.9959635416666667
352,0.996484375,0.9947265625,0.9954427083333334
368,0.997265625,0.9962890625,0.996484375
384,0.998046875,0.9974609375,0.9971354166666666
400,0.99921875,0.9978515625,0.9976562499999999
416,0.998046875,0.998828125,0.9986979166666667
432,0.9984375,0.9998046875,0.9990885416666667
448,0.99921875,1.0,0.999609375
464,1.0,1.0,0.9998697916666667
480,1.0,1.0,1.0
496,1.0,1.0,1.0
512,1.0,1.0,1.0
