dimension,precision_at_5,precision_at_10,precision_at_15
1,0.65234375,0.6951171875000001,0.7158854166666666
2,0.6808593749999999,0.7255859375,0.7391927083333334
4,0.701953125,0.7353515625,0.7533854166666667
6,0.7152343750000001,0.74296875,0.7608072916666666
8,0.7222656250000001,0.7564453125,0.7735677083333332
10,0.7410156250000001,0.7640625000000001,0.7817708333333333
12,0.7449218750000001,0.7685546875,0.7876302083333333
14,0.7515625,0.775390625,0.7958333333333334
16,0.7601562500000001,0.7802734375,0.7962239583333335
18,0.7621093750000001,0.7837890625,0.8011718750000001
20,0.7683593750000001,0.7892578125,0.8065104166666668
22,0.770703125,0.7958984375000001,0.8114583333333334
24,0.78125,0.80234375,0.8135416666666667
26,0.78828125,0.8064453125000001,0.8166666666666668
28,0.7914062500000001,0.8111328125000001,0.821484375
30,0.7976562500000001,0.8130859375000001,0.8269531250000002
32,0.801953125,0.8177734375000001,0.8302083333333334
34,0.8035156250000001,0.8257812500000001,0.83515625
36,0.8062500000000001,0.8267578125000001,0.8365885416666667
38,0.8101562500000001,0.8322265625,0.8434895833333335
40,0.8152343750000002,0.8355468750000001,0.8472656250000001
42,0.8222656250000001,0.8417968750000002,0.8498697916666668
44,0.8238281250000001,0.8425781250000002,0.8537760416666668
46,0.8269531250000002,0.8462890625000001,0.8579427083333335
48,0.8308593750000001,0.8500000000000002,0.8574218750000002
50,0.83515625,0.8515625000000001,0.8615885416666669
52,0.8359375000000001,0.8541015625000001,0.8619791666666669
54,0.8382812500000001,0.8615234375000002,0.8671875000000002
56,0.8421875000000001,0.8625000000000002,0.8705729166666668
58,0.8441406250000001,0.8658203125000001,0.8722656250000002
60,0.8437500000000001,0.8689453125000002,0.8765625000000001
62,0.8492187500000001,0.8714843750000001,0.8783854166666669
64,0.8539062500000001,0.8720703125000002,0.8799479166666668
66,0.85546875,0.8757812500000002,0.8837239583333335
68,0.856640625,0.8781250000000002,0.8846354166666669
70,0.8652343750000002,0.8845703125000002,0.8882812500000001
72,0.8667968750000001,0.8835937500000002,0.8914062500000002
74,0.8656250000000001,0.8855468750000002,0.8925781250000002
76,0.869140625,0.8869140625,0.8937500000000002
78,0.8691406250000001,0.8896484375000002,0.8985677083333334
80,0.876171875,0.8992187500000002,0.9011718750000002
82,0.8765625000000001,0.8982421875000002,0.9028645833333335
84,0.8777343750000001,0.899609375,0.9057291666666668
86,0.8804687500000001,0.9005859375,0.9076822916666668
88,0.8816406250000002,0.9037109375000001,0.9139322916666669
90,0.8847656250000001,0.9068359375000001,0.9127604166666669
92,0.8898437500000002,0.9068359375000001,0.9144531250000002
94,0.892578125,0.9097656250000001,0.9171875000000002
96,0.8902343750000001,0.9085937500000001,0.9186197916666667
98,0.8906250000000001,0.9146484375000001,0.9194010416666668
100,0.8945312500000001,0.9132812500000002,0.9217447916666668
102,0.8984375000000001,0.9185546875000001,0.9236979166666668
104,0.895703125,0.9199218750000001,0.9290364583333335
106,0.9019531250000001,0.9201171875000002,0.9274739583333335
108,0.9050781250000001,0.9189453125000002,0.9276041666666668
110,0.9050781250000002,0.9228515625000002,0.9317708333333334
112,0.9085937500000001,0.925,0.9328125000000002
114,0.9144531250000001,0.9283203125000001,0.9350260416666668
116,0.913671875,0.9275390625000001,0.9360677083333335
118,0.9199218750000001,0.9292968750000001,0.9376302083333334
120,0.91796875,0.9326171875000001,0.9382812500000001
122,0.919921875,0.9335937500000001,0.9423177083333334
124,0.91953125,0.93671875,0.9414062500000001
126,0.9242187500000001,0.9363281250000002,0.9438802083333334
128,0.9261718750000001,0.9382812500000001,0.9421875000000002
130,0.930859375,0.9414062500000001,0.9467447916666667
132,0.9320312500000001,0.94453125,0.9476562500000001
134,0.931640625,0.9427734375000001,0.9486979166666668
136,0.934375,0.9453125000000001,0.9502604166666668
138,0.931640625,0.9458984375000001,0.9505208333333335
140,0.9414062500000001,0.9470703125000002,0.9516927083333334
142,0.9398437500000001,0.9496093750000001,0.9540364583333334
144,0.9417968750000001,0.9480468750000002,0.9520833333333334
146,0.943359375,0.9490234375000002,0.9540364583333334
148,0.940625,0.9511718750000001,0.9552083333333334
150,0.94609375,0.9531250000000001,0.9579427083333334
152,0.94921875,0.9546875000000001,0.958203125
154,0.946484375,0.9535156250000001,0.9598958333333334
156,0.9492187500000001,0.9544921875000001,0.9600260416666668
158,0.950390625,0.9554687500000001,0.9614583333333335
160,0.952734375,0.95859375,0.9626302083333333
162,0.951171875,0.9564453125000001,0.9614583333333335
164,0.95390625,0.9564453125000001,0.9628906250000001
166,0.953125,0.9615234375,0.9641927083333335
168,0.9546875,0.9603515625000001,0.9652343750000001
170,0.9593750000000001,0.9615234375000001,0.9653645833333334
172,0.9605468750000001,0.9595703125000001,0.9671875000000001
174,0.9574218750000001,0.9654296875000001,0.9678385416666668
176,0.958203125,0.962109375,0.9675781250000001
178,0.9578125,0.9646484375000001,0.9682291666666667
180,0.96484375,0.9646484375,0.9690104166666668
182,0.963671875,0.9666015625000001,0.9700520833333335
184,0.9636718750000001,0.9666015625000001,0.9709635416666669
186,0.9636718750000001,0.9695312500000001,0.9688802083333334
188,0.96484375,0.9703125000000001,0.9707031250000001
190,0.96875,0.9693359375,0.9725260416666668
192,0.966015625,0.9695312500000001,0.9731770833333334
194,0.9671875000000001,0.9697265625000001,0.974609375
196,0.9664062500000001,0.9728515625,0.97265625
198,0.9691406250000001,0.9722656250000001,0.9747395833333334
200,0.96875,0.9755859375,0.9743489583333333
202,0.973828125,0.97265625,0.9750000000000001
204,0.9730468750000001,0.9781250000000001,0.9764322916666668
206,0.97421875,0.97578125,0.9753906250000001
208,0.973828125,0.9763671875000002,0.9766927083333333
210,0.971484375,0.977734375,0.9769531250000001
212,0.973828125,0.9751953125000001,0.9789062500000001
214,0.97421875,0.9763671875000001,0.9769531250000001
216,0.9734375000000001,0.9783203125000001,0.9774739583333334
218,0.977734375,0.976953125,0.9778645833333334
220,0.978515625,0.9765625,0.98046875
222,0.9765625000000001,0.9783203125000001,0.9798177083333334
224,0.976953125,0.9812500000000001,0.9808593750000001
226,0.978515625,0.9789062500000001,0.9794270833333334
228,0.982421875,0.9792968750000002,0.9809895833333334
230,0.98203125,0.98046875,0.9811197916666667
232,0.9796875,0.9820312500000001,0.9813802083333334
234,0.981640625,0.9789062500000001,0.98359375
236,0.980859375,0.9796875,0.9815104166666667
238,0.98046875,0.981640625,0.9829427083333334
240,0.981640625,0.9798828125000001,0.9826822916666667
242,0.9828125000000001,0.980859375,0.9830729166666667
244,0.983984375,0.9841796875000001,0.9847656250000001
246,0.984375,0.9826171875,0.983203125
248,0.9828125000000001,0.9826171875,0.9846354166666667
250,0.9847656250000001,0.9833984375,0.9859375
252,0.98515625,0.9837890625000001,0.9854166666666668
254,0.984375,0.9839843750000001,0.9856770833333334
256,0.983203125,0.983203125,0.986328125
258,0.9828125000000001,0.9849609375000001,0.9860677083333333
