dimension,precision_at_5,precision_at_10,precision_at_15
1,0.69140625,0.721875,0.73671875
2,0.6968749999999999,0.73046875,0.7444010416666667
4,0.7140625,0.741796875,0.7563802083333333
6,0.72578125,0.7582031250000001,0.768359375
8,0.73828125,0.7720703125,0.7805989583333333
10,0.75,0.7757812500000001,0.7897135416666667
12,0.7621093750000001,0.7880859375,0.8018229166666667
14,0.7703125,0.7958984375,0.8096354166666667
16,0.77890625,0.8091796875000001,0.8207031250000001
18,0.7851562500000001,0.8121093750000001,0.8305989583333335
20,0.7906250000000001,0.8167968750000001,0.8350260416666668
22,0.7992187500000001,0.8246093750000001,0.8382812500000002
24,0.802734375,0.8304687500000001,0.8428385416666668
26,0.809375,0.8378906250000001,0.8484375000000002
28,0.8167968750000001,0.8408203125000001,0.8541666666666667
30,0.8234375,0.8460937500000001,0.8550781250000001
32,0.8316406250000001,0.8484375000000001,0.8588541666666668
34,0.83515625,0.8525390625,0.8643229166666668
36,0.8417968750000001,0.8562500000000002,0.8670572916666668
38,0.846875,0.8626953125000001,0.8713541666666668
40,0.847265625,0.8621093750000002,0.8733072916666669
42,0.8492187500000001,0.8650390625000002,0.8795572916666669
44,0.8550781250000001,0.8679687500000002,0.8822916666666668
46,0.85859375,0.8724609375000002,0.8864583333333336
48,0.861328125,0.8765625000000001,0.8889322916666669
50,0.8691406250000001,0.8814453125000001,0.8924479166666669
52,0.869140625,0.8810546875000002,0.8955729166666668
54,0.874609375,0.8851562500000001,0.8983072916666668
56,0.878125,0.8900390625000001,0.9019531250000001
58,0.8785156250000001,0.8941406250000001,0.9050781250000002
60,0.8832031250000001,0.8957031250000003,0.9054687500000002
62,0.8855468750000002,0.8978515625000002,0.9088541666666667
64,0.8847656250000001,0.9029296875000001,0.9130208333333334
66,0.887890625,0.9027343750000002,0.9134114583333335
68,0.8941406250000001,0.9085937500000001,0.9164062500000002
70,0.8968750000000001,0.9087890625000001,0.9183593750000001
72,0.9003906250000001,0.9123046875000003,0.9209635416666668
74,0.905859375,0.9158203125000002,0.9226562500000001
76,0.907421875,0.9154296875000001,0.9235677083333333
78,0.9078125,0.9187500000000002,0.9261718750000001
80,0.909375,0.923046875,0.9270833333333335
82,0.9125000000000001,0.9220703125000002,0.9325520833333335
84,0.9164062500000001,0.9271484375000001,0.9345052083333334
86,0.9207031250000001,0.9265625000000002,0.9355468750000001
88,0.923046875,0.9287109375000002,0.9391927083333335
90,0.9296875,0.9310546875000001,0.9407552083333335
92,0.92890625,0.9326171875000001,0.9423177083333334
94,0.9316406250000001,0.9332031250000001,0.9451822916666668
96,0.9292968750000001,0.9373046875000001,0.9442708333333335
98,0.9343750000000002,0.9375000000000001,0.9453125000000001
100,0.9375,0.9378906250000001,0.9468750000000001
102,0.943359375,0.9400390625000001,0.9488281250000001
104,0.9429687500000001,0.9433593750000002,0.9511718750000001
106,0.941796875,0.94453125,0.9539062500000001
108,0.9468750000000001,0.943359375,0.9529947916666668
110,0.949609375,0.9476562500000001,0.9545572916666668
112,0.9488281250000001,0.9466796875000001,0.9569010416666668
114,0.9507812500000001,0.9472656250000001,0.9561197916666668
116,0.9484375,0.9498046875000001,0.9587239583333335
118,0.95703125,0.9529296875000001,0.9596354166666667
120,0.95625,0.954296875,0.9605468750000001
122,0.9554687500000001,0.9554687500000001,0.9610677083333334
