dimension,precision_at_5,precision_at_10,precision_at_15
16,0.8328125000000001,0.8417968750000001,0.8591145833333335
32,0.8765625000000001,0.8869140625000002,0.9015625000000003
48,0.9070312500000002,0.9197265625000002,0.9304687500000002
64,0.9281250000000001,0.9404296875,0.9494791666666668
80,0.94453125,0.9531250000000001,0.9615885416666667
96,0.958984375,0.9638671875000001,0.9691406250000001
112,0.9703125000000001,0.9722656250000001,0.9755208333333334
128,0.979296875,0.9791015625000001,0.9830729166666667
144,0.9812500000000001,0.9820312500000001,0.9884114583333334
160,0.9875,0.9869140625000001,0.9903645833333334
176,0.9886718750000001,0.9906250000000001,0.99140625
192,0.990234375,0.9925781250000001,0.9947916666666667
208,0.99375,0.994921875,0.9951822916666667
224,0.99609375,0.9951171875,0.9954427083333334
240,0.995703125,0.9962890624999999,0.9973958333333333
256,0.99609375,0.997265625,0.9981770833333333
272,0.996875,0.9984375,0.9979166666666668
288,0.9972656249999999,0.9982421875,0.9984375
304,0.998046875,0.9984375,0.9985677083333334
320,0.9984375,0.9982421874999999,0.9986979166666667
336,0.9984375,0.9986328124999999,0.9990885416666667
352,0.9984375,0.9994140625,0.9990885416666667
368,0.998828125,0.999609375,0.9994791666666667
384,0.99921875,0.9998046875,0.9993489583333334
400,0.999609375,0.999609375,0.9994791666666667
416,0.999609375,0.999609375,0.999609375
432,0.999609375,0.9998046875,0.9998697916666667
448,0.999609375,0.9998046875,1.0
464,1.0,0.9998046875,1.0
480,1.0,1.0,1.0
496,1.0,1.0,1.0
512,1.0,1.0,1.0
