reduced_dimension,precision_at_5,precision_at_10,precision_at_15
1,0.6756249999999999,0.7240624999999999,0.7377083333333333
2,0.7081249999999999,0.75125,0.7652083333333334
4,0.71875,0.7618750000000001,0.7714583333333334
8,0.7424999999999999,0.7803125000000001,0.7866666666666667
10,0.7493749999999999,0.790625,0.7941666666666667
16,0.766875,0.8100000000000002,0.8141666666666667
20,0.775,0.8174999999999999,0.825
30,0.80625,0.840625,0.85
32,0.813125,0.8446875,0.8529166666666667
40,0.8331250000000001,0.8612500000000001,0.8718750000000002
50,0.853125,0.8809375000000002,0.8889583333333334
60,0.8737499999999999,0.8950000000000001,0.9041666666666668
64,0.8787499999999999,0.9037500000000002,0.90625
70,0.8949999999999999,0.9131250000000002,0.9166666666666667
80,0.9,0.9278124999999999,0.9287500000000002
90,0.915625,0.9331250000000001,0.9364583333333334
100,0.923125,0.9453125,0.94375
110,0.9400000000000001,0.95,0.9547916666666669
120,0.9475000000000001,0.9590624999999999,0.9610416666666668
128,0.9512500000000002,0.9615625000000001,0.9625000000000001
130,0.9525,0.9653124999999999,0.9631250000000001
140,0.9574999999999999,0.968125,0.9700000000000001
150,0.9600000000000002,0.97,0.971875
160,0.9625,0.974375,0.975
170,0.9693750000000001,0.97625,0.9789583333333335
180,0.9662499999999999,0.9787500000000001,0.9793749999999999
190,0.9724999999999999,0.9784375000000001,0.9810416666666667
200,0.9762500000000001,0.9790625000000001,0.98375
210,0.9793749999999999,0.9806250000000001,0.98375
220,0.9806250000000001,0.9803125000000001,0.9854166666666668
230,0.985,0.9828125,0.9868750000000002
240,0.9887499999999999,0.9840625,0.9872916666666667
250,0.990625,0.9862500000000001,0.9881249999999999
256,0.99,0.985625,0.9889583333333334
260,0.99125,0.9865625000000001,0.9893750000000001
270,0.9931249999999998,0.9887499999999999,0.9887499999999999
280,0.99125,0.9893750000000001,0.9889583333333334
290,0.9893750000000001,0.9887500000000001,0.9897916666666667
300,0.99125,0.9887499999999999,0.99
310,0.991875,0.9896875000000002,0.990625
320,0.9924999999999999,0.9903124999999999,0.99125
