dimension_range,prev_dimension,curr_dimension,prev_precision,curr_precision,abs_difference,rate_of_change
96-100,96,100,0.964,0.9660000000000001,0.002000000000000113,0.0005000000000000282
148-152,148,152,0.984,0.986,0.0020000000000000018,0.0005000000000000004
176-180,176,180,0.9898,0.9918,0.0020000000000000018,0.0005000000000000004
128-132,128,132,0.9778000000000002,0.9798000000000001,0.0019999999999998908,0.0004999999999999727
108-112,108,112,0.9703999999999999,0.9722000000000001,0.0018000000000001348,0.0004500000000000337
116-120,116,120,0.9738,0.9756000000000001,0.0018000000000001348,0.0004500000000000337
144-148,144,148,0.9822000000000001,0.984,0.0017999999999999128,0.0004499999999999782
164-168,164,168,0.988,0.9896000000000001,0.0016000000000001569,0.0004000000000000392
112-116,112,116,0.9722000000000001,0.9738,0.0015999999999999348,0.0003999999999999837
212-216,212,216,0.9952000000000001,0.9967999999999999,0.0015999999999998238,0.00039999999999995595
104-108,104,108,0.9692000000000001,0.9703999999999999,0.0011999999999998678,0.00029999999999996696
228-232,228,232,0.9956,0.9967999999999999,0.0011999999999998678,0.00029999999999996696
76-80,76,80,0.9520000000000001,0.9530000000000002,0.001000000000000112,0.000250000000000028
204-208,204,208,0.9937999999999999,0.9947999999999999,0.0010000000000000009,0.0002500000000000002
272-276,272,276,0.997,0.998,0.0010000000000000009,0.0002500000000000002
188-192,188,192,0.9918,0.9926,0.0008000000000000229,0.00020000000000000573
132-136,132,136,0.9798000000000001,0.9806,0.0007999999999999119,0.00019999999999997797
244-248,244,248,0.996,0.9967999999999999,0.0007999999999999119,0.00019999999999997797
152-156,152,156,0.986,0.9866000000000001,0.000600000000000156,0.000150000000000039
192-196,192,196,0.9926,0.9932000000000001,0.0006000000000000449,0.00015000000000001124
196-200,196,200,0.9932000000000001,0.9937999999999999,0.0005999999999998229,0.00014999999999995572
208-212,208,212,0.9947999999999999,0.9952000000000001,0.000400000000000178,0.0001000000000000445
280-284,280,284,0.9977999999999999,0.9982000000000001,0.000400000000000178,0.0001000000000000445
88-92,88,92,0.9614000000000001,0.9618000000000002,0.00040000000000006697,0.00010000000000001674
172-176,172,176,0.9894,0.9898,0.00040000000000006697,0.00010000000000001674
296-300,296,300,0.9982000000000001,0.9986,0.00039999999999995595,9.999999999998899e-05
220-224,220,224,0.9957999999999999,0.996,0.000200000000000089,5.000000000002225e-05
248-252,248,252,0.9967999999999999,0.997,0.000200000000000089,5.000000000002225e-05
256-260,256,260,0.997,0.9972000000000001,0.000200000000000089,5.000000000002225e-05
268-272,268,272,0.9967999999999999,0.997,0.000200000000000089,5.000000000002225e-05
260-264,260,264,0.9972000000000001,0.9974000000000001,0.00019999999999997797,4.999999999999449e-05
284-288,284,288,0.9982000000000001,0.9984000000000001,0.00019999999999997797,4.999999999999449e-05
300-304,300,304,0.9986,0.9987999999999999,0.00019999999999986695,4.999999999996674e-05
184-188,184,188,0.9917999999999999,0.9918,1.1102230246251565e-16,2.7755575615628914e-17
312-316,312,316,0.9985999999999999,0.9986,1.1102230246251565e-16,2.7755575615628914e-17
200-204,200,204,0.9937999999999999,0.9937999999999999,0.0,0.0
236-240,236,240,0.9964,0.9964,0.0,0.0
252-256,252,256,0.997,0.997,0.0,0.0
292-296,292,296,0.9982000000000001,0.9982000000000001,0.0,0.0
304-308,304,308,0.9987999999999999,0.9987999999999999,0.0,0.0
180-184,180,184,0.9918,0.9917999999999999,-1.1102230246251565e-16,-2.7755575615628914e-17
288-292,288,292,0.9984000000000001,0.9982000000000001,-0.00019999999999997797,-4.999999999999449e-05
308-312,308,312,0.9987999999999999,0.9985999999999999,-0.00019999999999997797,-4.999999999999449e-05
276-280,276,280,0.998,0.9977999999999999,-0.000200000000000089,-5.000000000002225e-05
168-172,168,172,0.9896000000000001,0.9894,-0.00020000000000020002,-5.0000000000050004e-05
124-128,124,128,0.9782000000000001,0.9778000000000002,-0.0003999999999998449,-9.999999999996123e-05
224-228,224,228,0.996,0.9956,-0.00039999999999995595,-9.999999999998899e-05
232-236,232,236,0.9967999999999999,0.9964,-0.00039999999999995595,-9.999999999998899e-05
240-244,240,244,0.9964,0.996,-0.00039999999999995595,-9.999999999998899e-05
316-320,316,320,0.9986,0.9982000000000001,-0.00039999999999995595,-9.999999999998899e-05
264-268,264,268,0.9974000000000001,0.9967999999999999,-0.000600000000000156,-0.000150000000000039
140-144,140,144,0.983,0.9822000000000001,-0.0007999999999999119,-0.00019999999999997797
216-220,216,220,0.9967999999999999,0.9957999999999999,-0.0010000000000000009,-0.0002500000000000002
160-164,160,164,0.9894,0.988,-0.0013999999999999568,-0.0003499999999999892
