image_embedding,caption_embedding
"[-0.29632991999605607, -3.4616030224287915, 2.2211049250874075, -0.9196242878914449, -0.6253145000474304, 0.04182574935742947, -0.16377201409816136, -1.0343883357130796, 1.782169846958324, -0.6487559799266341, -0.27596249584250016, -0.8777030356166509, -0.8646915706173103, 0.9326411044686678, 0.886472047777586, -0.2253849288195635, -0.10284298146819773, -1.1292718499741647, -0.4626523761667383, -0.2840097798067126, 0.20148471978485724, 0.1964887708919627, 0.7506745098846305, 0.15733821655674862, -0.8199228432615667, -1.1199939312188447, -0.9775374585612449, -0.28558507050001614, -0.2616982442373205, -0.5531582985093867, -0.5062700665708202, -0.7304177362854087, -0.028529951578082698, -1.193769578812593, 0.1572159366275755, -0.7930889281815966, -0.5273518200577871, 0.7328232884075417, 0.3989914797736674, -1.0370888539363936, -0.0901190515562553, 0.25390551359422986, -0.357513954932319, -0.3285081734489765, 0.24185513863444225, 0.19316886098282296, -0.0799505340943985, 0.5695478239313477, -0.694770024968982, 0.7292229462184048, -0.21096303725200005, -0.7203918139619463, 0.21463352078430914, -0.6017809991397292, -0.44277255185001246, 0.9003444061281581, -0.5095856451858087, -0.6433631355943604, 0.15302518678371727, 0.18205876036246785, -0.3975520808215062, 0.4033800492018279, -0.3443927195837189, -0.6648598511144165, 0.09133230832862442, 0.1608104259093737, 0.3761524482957018, 0.040984758233834746, 0.5142452189554674, 0.170954726284205, 0.5697315215333485, 0.019944355570203676, 0.12015093460706934, -0.12535877890334224, -0.018368814446083223, -0.2209106468199904, 0.8849950041543164, 0.42374765515950513, -0.33633255346751917, -0.1138294551607613, 0.1683766804067032, 0.632783433414327, -0.6347441150671563, 0.1576725155844856, -0.11136866971572185, -0.2869217370580954, 0.1003098868310099, 0.45241064581620666, -0.5725806730574905, -0.2992047612650311, 0.2572273268006073, 0.5603670417622351, 0.22866956135971503, -0.35833974245872996, -0.8837348557084289, -0.1465122652791569, -0.7855062852205865, -0.6659961953819075, 0.670162273817845, 0.5088504353626703, -0.2423111858735782, 0.4831394615464473, 0.3922418240662158, 0.3689831150324084, 0.02119945516373529, -0.37818803188102096, -0.5456190156743441, -0.5385094618720663, -0.43446893195412273, -0.4178432544013489, -0.63057799024332, 0.221522064364313, 0.13464167083087725, 0.3733208861702284, -0.3927696660519946, 0.4906387656243426, 0.21604418380000817, -0.1301983416389811, 0.2226836388309509, 0.43734782765437186, 0.20377309430427148, 0.2150475272220797, -0.2995716416519359, -0.10521210446840021, -0.03725727530887453, -0.30493159201872566, 0.061430743330710295, -0.09252531470983803, 0.06154900151783618, 0.24526272568301505, 0.2559492592858748, -0.18248457847808924, 0.9157456899112038, -0.15746605536789124, 0.08741443574411792, 0.3844315245370802, 0.04277023763429639, 0.49899025173113876, -0.3123428018186937, 0.0887237421204349, 0.1777595161678057, -0.3090078247293119, -0.32915674553847446, 0.156814165390481, -0.14592924083901176, 0.13958649795108716, -0.11288697978361116, 0.15803524629099475, -0.6087390433944019, -0.1335628067388923, 0.09555864623718188, -0.011393301352324598, -0.3948436822281437, 0.22700371049449575, -0.08021315797682135, -0.04215381902334693, 0.2333832872847867, -0.22397173267388407, 0.01024437231235845, 0.2851341539592676, -0.2811634688625377, 0.4230679991382403, -0.18930827024009597, 0.0492433055664032, -0.27398820538367125, -0.24387526492282902, -0.38943064297196345, -0.07796232928220768, -0.1276508382821618, 0.23995755003474617, -0.1800076270363123, 0.2066682987988434, 0.04670116744315949, 0.059760639038130954, 0.02804693318731227, 0.28510998768955764, 0.1519459789034139, 0.47331987576677, 0.2928863559090254, 0.021669271298204403, 0.29009995926898313, -0.4178621167549227, 0.040836141750858326, 0.034364450346668476, 0.17584557281238564, 0.1337055515399974, 0.08623381327762922, 0.17066426097499093, 0.15716531405255543, 0.303867528675634, -0.1162763159872199, -0.0874202794036163, 0.1887023348285574, -0.06332029842937455, -0.15775291282156656, 0.3266504913591833, 0.11343254250143855, -0.0957527586525548, 0.29276248826659923, 0.013812168884514834, -0.04881193846820763, 0.10784815121775611, 0.1970676439549304, 0.11391198732263849, 0.13654951908656432, -0.11142437236448845, -0.02876401464120131, 0.08915174739669235, -0.045970079143089766, -0.10436846744596207, 0.10919292551675991, 0.011661017005008247, 0.15252565733782275, 0.015351011442734389, 0.018578553847955294, 0.30782925133032635, 0.07303220215881351, 0.18260467375202558, -0.06973696591809447, 0.15111907465894941, -0.03299808853174121, 0.11106554370658943, -0.007867052244513112, -0.09512286406488299, 0.0561942182243923, 0.09169103008283216, -0.0689066866975598, 0.020189115296069874, -0.006793629174058283, -0.07232293690410994, -0.11089646311491352, 0.14214204946235814, 0.0267588396271232, 0.13204277185134047, 0.03378001318677395, -0.07311818886413358, -0.06992691458219934, -0.03355770258927268, -0.06989515641549147, 0.008996360507478663, 0.0718454202129348, -0.003178288448777923, 0.014141505670272742, 2.246057996063093e-06, -0.1034011992948182, -0.0020375108067708847, 0.12241336823766946, 0.016574881211108592, -0.06269685578669591, -0.07612471115321204, 0.027006250453197052, 0.045899894881017, 0.035182376226382275, 0.04002067236137531, -0.0033669008353934306, -8.917681349764699e-16]","[-2.5445136775916954, -0.007574040361186274, -1.8280115027723884, -1.019192310173892, 0.5307213951935533, 0.6964535225333847, 0.6140755350359338, -1.7021214518097656, 0.6269488763974705, -0.5472848730372997, -0.2859613555047251, 0.8930385179815127, 0.7918461690314854, -0.47482839609382566, 0.6620209331448969, 0.6476367840028324, -1.0596821494518538, 0.7357237975052477, -0.16573390201908234, -0.45939342556326296, -0.44498987785452376, -0.15916493194740855, 0.3397307670372717, 0.09837043428758568, 0.7977343028066944, 1.521904699835846, -0.10351855248663659, -0.04349089960835217, 0.30561143671291174, -0.4914870861877146, -0.014510663530934975, 0.013519335370776082, -0.3381814190695274, -0.9248124955819258, -0.059221596431809395, -0.027403888926127024, -0.29257828585515794, 0.5817824268160776, -0.4684536581785317, -0.23659684803596576, -0.8863227388152138, 0.9044158406141997, 0.4475395074321146, 0.06217183977888339, 0.04610133736175276, -0.0625022368099464, -0.42613135021750986, 0.48732735925870346, -0.1163870100835127, -0.11944033605640057, 0.9640782121349136, 0.2673721872982017, -0.7788907769477327, 0.5703855200577502, 0.4417992262670028, -0.2774669474557621, -0.20016215592955108, -0.5171185978381773, 0.9572819347635647, -0.23950514825993607, -0.10861221829186953, -0.22113268663951227, 0.07953759584529264, -0.14443536896908563, 0.5312178711845968, -0.9908738785100805, -0.05576892152882008, 0.14058947457153412, -0.03764473766804213, 0.18426191409507506, -0.13414043759870015, -0.21844645323110698, -0.11676690085054646, -0.14857596472875992, 0.005265126807183886, -0.10201015279784524, -0.3057024574100682, -0.2828824849023399, -0.15030221839273258, 0.28398757840474104, -0.708454050150463, 0.010813910617640015, -0.14953987793970153, 0.34455750335840557, -0.37519533822138, -1.0827003082716282, 0.012234686069828377, -0.6119815059815902, -0.35369052479086277, -0.1720551125697925, 0.32249569458327826, 0.3585373274473176, 0.29693310138188633, -0.018391779739817482, -0.4670389194844056, 0.1507679658466345, 0.007963755776559743, -0.06864748099634078, 0.22648089186272752, -0.4789725381443393, -0.09174412625751915, -0.4135621428966917, -0.046443336761919835, -0.3097936593478521, -0.1735527813289687, 0.1253110319574622, -0.2756223360210315, 0.007353315216410639, -0.07434153370774359, -0.4041621790937877, -0.07256423215624672, -0.13082782413392122, -0.3968120689105784, -0.06333759059273368, -0.43404003669353, 0.042983265491154415, -0.49636603572714916, -0.008699242135301748, 0.04418049264279209, 0.3770306809284141, 0.307963959368089, -0.02085013490727265, -0.1397455669401175, -0.12872199058024641, -0.24112232622577198, 0.0684378660688964, 0.034554034564938337, 0.36976603924574636, 0.12037713172787512, 0.0673416175630803, -0.04614662430188236, 0.0054654472693679325, -0.3489873192692103, -0.21047593390042443, 0.010192706376023748, 0.25435686506148547, 0.002171713224091593, 0.15751706428064385, -0.12959976000109608, 0.03690438753239723, 0.3150082884306085, -0.007288731941267632, -0.17355988353268648, 0.38752704382300607, -0.04472911790269483, 0.2943057282857445, -0.11584678935187506, -0.06582634123164934, 0.017541933095390906, -0.21264798812602442, -0.0933810728657867, -0.26873044385706435, 0.05495470727622486, -0.5835882101236336, -0.07739203296356811, -0.10607463890612763, -0.03217586482554483, 0.3476926840232919, 0.01769205178181101, -0.055935655894609373, -0.09653183554083292, -0.3468977835391185, 0.02067699386963602, 0.09611821011189267, 0.18089283674524356, -0.12000330848275187, -0.12710949745048836, -0.6125866459481741, -0.27313244565247563, 0.027878685958435307, -0.18818085988365424, -0.04943091067499395, 0.08167674742484796, 0.15707771899689102, -0.1207911851260863, 0.21662675196969236, 0.031003706824542586, -0.10008498732469415, -0.07812284804237633, -0.20045583378372783, -0.1928794271754105, 0.08046713455830548, -0.046341870404653616, 0.4355196186519788, -0.04997766692776836, -0.025283303693938688, -0.018313569576557432, -0.1708212364605107, -0.055451099510394466, 0.25660416087061644, -0.017376494791685793, 0.17668010276102078, -0.06514382251969796, -0.04223033367270744, -0.06381438177324045, -0.03683875875982783, 0.172889263444574, -0.25642335412610257, -0.052523647924196296, -0.11482832876111725, -0.11192240245497556, -0.07214627475811072, -0.13755837166894852, 0.0195131411630722, 0.013944209588884838, -0.13500246813563582, 0.06691139858541047, 0.07853053506950643, -0.017582135112857708, 0.06593292365483107, 0.004504819998288059, -0.05364910535858517, -0.07516985658531168, -0.08014942661059746, -0.244139148192529, -0.00980412851040631, 0.2228170090072982, 0.011442203270404152, 0.03832214694127757, 0.05708418201670328, 0.01837330669649711, -0.1044763287844011, 0.0786826498085786, -0.00937543102398751, -0.013947363538944076, 0.13767781570494875, -0.07466208269613507, -0.044114714173351686, 0.10638717160259545, 0.060259429325486204, 0.005086969306966527, -0.01777012747178768, -0.02323783832990252, 0.11521680668701995, 0.05917184219000906, -0.03848352848010901, -0.03461140073888981, -0.05804315162717728, -0.03850970365857069, 0.008043868280026949, -0.02498222095502518, -0.09236101273841807, 0.004859537410731517, -0.03546635076602052, -0.04753145821950637, -0.10129489999135224, -0.048718694333488174, 0.0311520060604803, -0.01889991535550615, 0.02003712006985293, 0.05808802975541391, 0.015190274840141809, 0.016441118028971195, 0.007220373194681455, -0.014859831188038177, -1.003696335641429e-15]"
"[-1.2005943390469451, 1.3236645657172887, -0.368399973224177, -0.2623563154701903, 2.463128225164362, 2.132020563315564, 1.787359017982496, -0.5628954222173544, 0.694278979233046, -0.3330193149521818, 1.1439538957841697, 1.3192664683425273, 0.6567781010267139, -1.2273540042797872, 1.362936161237927, -0.18175513442331126, 1.3531042825838524, 0.43093511856665945, -0.12672337523041624, -1.165390433633679, 0.15643868051029108, -0.08282325759774008, 0.11059785278978009, 1.7114261165501914, 0.6208122042997687, -1.1177477306638153, 0.0461131431799323, -0.39581758716586424, -0.3368857936302292, -0.5881026267991022, 0.1736672032131318, -0.13107982222850773, 0.7265593179605507, -0.9992528927456859, -0.758938962746184, 0.640920242261986, -1.0853399978832758, 0.5933397062477227, 0.8555615718679003, -0.12589528468173103, -0.43659225064702983, 0.28394602730870894, -0.18607815013846124, -0.9111076409469504, -0.38736361365454774, -0.22615031414517334, 0.8289915640466177, 0.404848286020866, 0.21882069006289415, -0.17887769372630388, 0.4662137729300124, -0.3164261401967585, -0.5202607687031303, -0.14071459911191259, 0.12182316262335133, -0.2681007188741925, -0.02299648384948933, 0.8078748558551816, 0.49104819810943395, 0.030164813155572904, -0.3317063880581354, -0.6309791192836925, -0.00014825993446397547, -0.13471634142280597, 0.41198629418612476, 0.26567900721569626, 0.16339744945839796, -0.13207533152594672, -0.7377373101715102, -0.23799019462022056, 0.24462055246807612, -0.3421259302575326, -0.41845471561445124, 0.39097261621541585, 0.0458575064361331, 0.052474295056631176, -0.10212051007311371, -0.23289696449976868, 0.028494421796222885, 0.1356112256958824, -0.2590178135700226, 0.09139221958507987, -0.1447713189384506, -0.1636255365887758, -0.13459601660796996, -0.00795639253753024, -0.18519229099705403, -0.28874855252092113, 0.14125350373757897, 0.5469973063202307, 0.048553782372118, -0.5095113879837697, -0.10997134136752265, -0.4744936296691807, -0.026937127566445295, 0.48708283248704715, -0.5448819584729659, 0.5979690077112234, -0.13444508446133308, -0.4180690081846525, -0.11515970128559311, 0.12632961694847053, -0.5383470925256688, 0.14777958142915337, 0.1923041691158053, -0.12717148838194645, 0.5901454534796394, -0.3145932660010496, -0.43528848390303626, -0.4069506339973294, 0.0627675603011774, 0.074359512539726, -0.275446398756151, -0.2203214396700266, -0.3310905869850235, 0.10588781296893028, 0.20629864410404983, -0.2543979452316711, -0.3131329588079537, 0.12378537957439223, 0.058298031700710476, 0.3061718404683795, -0.4094946130871122, 0.18977438735789356, -0.4112841330898203, -0.19519543325006278, -0.07137237730211361, 0.2397734529251745, 0.0739597399898631, -0.1528102844445203, -0.5210124896955646, 0.4508130486031587, 0.13602700716773858, -0.29292227980536295, -0.13631441109647202, -0.249409094311665, -0.03340103622197356, 0.32701588747523525, 0.21830535977736013, -0.4132918536226153, -0.24960368043657405, 0.16148296775463683, 0.07049511668096098, -0.2421031615800465, 0.02207655701946664, 0.2234621848977767, 0.07673461391236054, -0.0660808570726954, -0.08333763338689122, 0.15704326898751425, -0.34276942658771714, -0.42027634072133396, 0.032135673439058814, 0.3506080168269525, 0.02969793837691045, 0.0966599050531707, -0.02217627333566931, 0.40571535150836885, 0.12383440621367335, -0.09072693742180775, -0.42998887099281996, 0.31171853018648066, -0.3294429515387139, -0.032334394372200245, -0.001963844289670394, -0.016478424160088784, 0.11852705992609769, 0.05692558556424933, 0.1718568027082854, -0.039577452454412104, -0.028952973843716312, 0.23693203166896118, -0.12061593757421128, -0.12531027845663528, -0.21065444680303913, 0.09060466093101666, -0.07976156256079585, 0.03961932307724154, 0.08779214437492852, 0.026945265247769978, -0.010265789986861455, -0.05706110065962446, -0.01794353376365882, -0.2814136480748825, -0.12119866393809946, -0.06079793123134699, 0.15937008522930726, 0.04488353658661058, -0.004255625465357366, -0.13560351461895181, -0.03321656549731354, -0.15907603511664248, -0.017282056567748054, 0.22569683766895984, 0.31321779147809076, 0.06444062205371479, 0.09387177554997268, -0.25650153626622, 0.16895515208018053, 0.20922909679224014, 0.22220525458101592, -0.006775678071266791, 0.3625681280923369, 0.029395383284392854, 0.248535898282155, -0.0437986911251685, 0.281492443699347, 0.06821793587763798, -0.22343563791693744, 0.25861499660397086, 0.14884099209401097, -0.2695451737286926, -0.031904768286879284, -0.25227172701243084, 0.04952444189098376, -0.21198452243749577, -0.05055154019417643, 0.0007271374049119764, 0.008654972706385863, 0.23656732925491436, 0.17963876746863489, 0.10630000760536949, -0.0050083355365506625, 0.14991025538737712, -0.39207055478524905, 0.07523023411110112, 0.12765745235124104, -0.15739042387054047, -0.02663992663036163, -0.05822874175071414, 0.11643913351513113, -0.1451939818419011, -0.00016747310352557634, -0.1719788549388616, -0.1266555169185098, -0.05061336443681863, -0.00221682140123866, 0.22605633248707618, -0.31063630327749153, 0.05543031974684501, 0.06385822448792075, 0.04139208448786273, -0.2350323047317967, -0.13604402918057984, -0.039675756728881635, -0.06694646105488752, -0.05360407399671539, -0.045130603096611904, 0.007168546456925221, 0.009447417960269837, 0.032294525708444474, 0.0027707323560469243, -0.018989905253582077, -0.12364121707178703, -0.04903042022409753, -8.917681349764644e-16]","[-0.9550785415554004, -1.230046681364467, -0.38473057225295065, 1.7653947734692486, -0.5767703658007276, 0.783822079963413, -0.17370172362857178, -1.006315871807546, 0.8056936378705116, -0.8115762772479732, 0.12176164888126233, -1.5158936047313702, -1.621342246174399, 0.40766594521798216, -0.6097971192480433, -1.058240978750706, -0.2338626342036724, -0.18508984768574946, -0.0011177218606185449, 0.03882982919518253, 0.10865548332184428, 0.09515705332401682, -0.34443812383480565, -0.4294874644698353, -0.13556031471977106, 0.2383756940258856, -0.5776892151116534, -0.45908932214613923, -0.00078581879801571, -0.7429031264283612, 0.9464047638774302, 0.16658346623596718, 0.6600019153170394, 0.06930185484531245, -0.16028852610140826, -0.04062085600850463, -0.23987589408606505, 0.2133936901929716, -0.2657052198712846, 0.2484647968908315, 0.14761233467270812, -1.15282792193387, -0.7322501033693649, 0.2892965206480167, -0.5940660036595684, -0.12623520080927428, -0.6416450983481677, -0.965761684390188, 0.7235125177294538, -0.2983891826682723, -0.1187689439281816, 0.38804042153810925, -0.19730525181399047, 0.20177832974427903, -0.9746773550455868, 0.050548517918325805, -0.048001004320663364, 0.5588262469192352, -0.3693984469932075, -0.23271025357847033, 0.1866404640759575, -0.02671713011702156, -0.13889186668245415, -0.40424336903234626, -0.1591987163067184, 0.06152081605054797, 0.06301543618602026, -0.11494919055103174, 0.6799960885217797, 0.4652791455814586, 0.08969905290011615, -0.4247824347519651, 0.41934009947193035, -0.1004928259596733, 0.019669557389949098, -0.06750757737309321, 0.06632787160518466, -0.02769606601633882, 0.1763374000046037, 0.15579046961833423, -0.454940137577587, 0.1969510156068302, -0.20483619992797059, 0.35357886502607805, -0.06523458709630109, -0.27755071366200434, -0.2032774636870684, 0.24081288576288534, 0.026832096832504558, 0.12621185065280752, 0.14614888688783398, 0.25817786017175337, -0.8261512918241579, -0.4283112206975907, -0.21735123199094383, -0.252611662540415, -0.4839902892421201, -0.29866998280457285, 0.0542790214051621, 0.11782834241994074, 0.08704331713765401, 0.15468519051280674, -0.07815565982624036, -0.38607299955458585, -0.4212744904875528, -0.027592118058925565, -0.2749535387048572, 0.5045951337381326, 0.06149685101531337, 0.40287011922310456, -0.3331443865532636, 0.4787961028055474, -0.17315204737272152, 0.024139452204733184, 0.006063486150929973, -0.07808958098030405, -0.19913391878754097, 0.2347444920220128, -0.16715319601438933, -0.562002296267134, -0.08266965180857311, 0.13772899505352723, -0.15650496221954693, -0.15094367505966944, -0.4474484460891619, 0.004360706202307009, -0.04997912654856781, 0.3495173409166551, -0.35643588188530506, -0.2638854072737385, -0.2256759839272826, -0.17508517427308531, 0.12665448222378908, 0.07157299198311526, -0.11802139819619853, -0.36730529311669874, 0.015403736077666114, 0.35904054134786656, -0.06434684992421322, 0.23576873701288983, 0.25433656060376303, 0.3100177561799726, -0.17245912227006321, 0.23082284261803296, -0.4275713751904429, -0.08470119700688153, 0.1077619755517865, 0.09976262811350387, -0.2063278192102093, -0.2334985360464466, 0.2291934413274673, -0.08423107535278303, -0.32955730763006, 0.011394594037677218, 0.020693254419896976, 0.17796744457062796, 0.22200008706309188, 0.16915109053780786, 0.15845592989630533, 0.08057038369020142, 0.0768035912047001, -0.06622360387918234, -0.05771804686337824, -0.04533844188912589, -0.03434344380454234, -0.03420895231499192, 0.10640005739887484, 0.04678367388400096, -0.05591118838444968, 0.13578590876227398, -0.3765654636074457, 0.10625508976326771, 0.16710473914955049, -0.007180406248889067, 0.14980632276948377, 0.020392324029228023, -0.13486714184048693, -0.19422184181561047, 0.3972188235577583, 0.14698325601507004, -0.2885422382106232, 0.11020090542028413, -0.04269831244618521, 0.13842010290651735, 0.086313324784153, 0.059707423753424145, 0.16294715894014755, -0.01520953478238789, 0.01037366882919423, -0.300290828095828, 0.07344349083681447, 0.3338768772758337, -0.3176160494490094, 0.027317614467443938, 0.1611715738924076, 0.2284219876551889, 0.06416632247933941, -0.021499497406573476, 0.12253426306509176, 0.22945180981883584, 0.17870289748218599, 0.06398930538479791, -0.027202664339423595, -0.09969293343256083, -0.12178527462298423, -0.2235458384065478, -0.13716562979887897, 0.06878991509574564, -0.06270816447383581, -0.04305715378648799, -0.06630491488512232, 0.32688060424795834, 0.12915211234620536, -0.04922042602452754, -0.024724725706699296, -0.023437749279453357, -0.14375103114355328, 0.05897911747910041, -0.024883277910748715, -0.03490393446189274, 0.02644351395875526, -0.11500629294194237, 0.06347531373295325, -0.08843645582072271, -0.16000723395718397, 0.1118067705868293, -0.05553805936320205, -0.1792169155222005, 0.052909843402676494, 0.1384910423214954, -0.16792601246993105, -0.056648695554227094, 0.03321004518153718, -0.014896311481664405, -0.037878557839934816, 0.10891974913902076, -0.06508084142223185, 0.010610999237664228, -0.033282349215787925, 0.034722688703340415, -0.051622284487143955, -0.01589604330739058, 0.02603835957679134, 0.0022631403196991602, 0.04794326262981109, -0.08446811612359485, -0.056384862036494, -0.00341614719026802, 0.03436488492269033, -0.1135965606021212, 0.008588407469422972, -0.038279758034447615, 0.043929829095029974, 0.0028976659895197238, 0.037560276194999416, -1.003696335641422e-15]"
