image_embedding_entropy,caption_embedding_entropy,image_embedding_entropy_256,caption_embedding_entropy_256,image_embedding_entropy_128,caption_embedding_entropy_128,image_embedding_entropy_64,caption_embedding_entropy_64
8.994911724394584,8.94789421378914,7.983652235214063,7.97807768820616,6.969589129992354,6.958644519737703,5.948912482788477,5.932028456998272
8.9933620308765,8.908574921665759,7.903680553044762,7.956277549443442,6.827267025151004,6.918707137281368,5.7300258708226846,5.861645913636892
8.993836224230758,8.925307960208269,7.969862144157487,7.971242918891019,6.945151254521273,6.946002370431796,5.904241937529818,5.916935702496677
8.994446227557198,8.899584340167138,7.960672877111776,7.964175881177386,6.924842141502937,6.935539910570095,5.875095154226762,5.895289524822824
8.995698928183145,8.92145456165014,7.98188164646555,7.946718729096919,6.96697308214132,6.90160217326663,5.937172506254227,5.8346768517431835
8.995609040742796,8.898799933877356,7.9654068179095425,7.959165719680842,6.93602324948134,6.927912934648543,5.898246334626844,5.870744002424061
8.98186075679656,8.968484945188678,7.977565585800032,7.986190256186717,6.957151537731675,6.974523181161064,5.923014494368608,5.954295078735223
8.995346205951599,8.94315705633699,7.9827348014063055,7.946713388290329,6.966671846514942,6.907101960404088,5.940024122925872,5.888696785773047
8.994799665220407,8.952036276152088,7.965279505127182,7.9741085424269,6.938756187966311,6.9502352557859,5.905541127912347,5.92927667680225
8.994707859055865,8.914795494008008,7.976290943882082,7.974805956664655,6.955123135938318,6.956004469581469,5.91956049111573,5.937862415789075
8.99378727260559,8.932916255435645,7.969860548251201,7.963135650228918,6.941095320044352,6.931482698599139,5.9133882214076845,5.8952185837898785
8.992461189866518,8.911573650779463,7.9673840517931165,7.959577143932567,6.936707800955963,6.922151110942242,5.901017861291445,5.868126159602058
8.993965086480951,8.909702442997494,7.956751142611369,7.972772461183688,6.92138843612976,6.953151165801,5.8847438232911635,5.921366393062112
8.994356668669962,8.904260638272355,7.929730713942224,7.977068174609448,6.884806366483304,6.95910214636056,5.823574715345519,5.937425750045738
8.993702805014696,8.885835433561523,7.97120650080362,7.970342253020759,6.947265202578335,6.945856102574034,5.903920956559095,5.9095954175221355
8.995432289017902,8.949321485436606,7.967691422961258,7.964093169701032,6.939536755714207,6.9369551861677925,5.8992564290944935,5.892488577827501
8.993372931198136,8.943935247389245,7.982176944077381,7.952606320343138,6.965962674950319,6.916847233703958,5.942800809465386,5.884000200079784
8.993409877843298,8.882991273751848,7.918952531328081,7.966193557687887,6.867041642283914,6.941390562027706,5.789263565404447,5.911891982865344
8.99439797706283,8.928751303992014,7.983491629929952,7.966543095488058,6.9700838340882205,6.939599359881976,5.9470152048945515,5.9105879424356615
8.993777600321206,8.941784867955942,7.973858426829634,7.981229107580278,6.9502090317002105,6.968150055614824,5.918048199277987,5.950907497227993
8.993342516979514,8.888662680932438,7.974407765796665,7.936180989984619,6.953675398555452,6.892007801764535,5.920923524365633,5.833948910888486
8.99327711717636,8.928509830273585,7.979069340476545,7.983022123200035,6.959618602977863,6.96853309760524,5.939859718690309,5.950992656498674
8.992921003535628,8.950977093455485,7.931157530700842,7.96994623352027,6.874964356570097,6.948839241587946,5.800565559157017,5.915581094188355
8.993669690875006,8.908609064387505,7.95575793993584,7.957636903839246,6.913605835704913,6.923180562106415,5.8506700422460405,5.886388565886774
8.99240250659908,8.876204856554716,7.9756356497537055,7.955479125862352,6.952593149257077,6.91757617601296,5.915832896265222,5.859545928325083
8.994712156855282,8.952857115201496,7.978629188216677,7.954963166931188,6.960436828375867,6.920513936461305,5.935206611853991,5.863278816412464
8.994314898370948,8.951905351624244,7.928100457709463,7.964858985889165,6.875107869149906,6.933816431744001,5.7896807338292575,5.886877539522432
8.992589327844044,8.947735202025843,7.964199095214047,7.951276695159403,6.934773127172001,6.915839897807111,5.909414578502007,5.864866840990232
8.988449182149697,8.936749031039636,7.975024308273793,7.988530615404715,6.953429734111055,6.97780310509553,5.920604663752579,5.958362300294962
8.993147205867523,8.949359580411185,7.981054711870938,7.898696113406991,6.9652512372070206,6.83467013717256,5.934635448628965,5.770211049833133
8.99301818263211,8.89238963392204,7.975519044474045,7.9783779918049955,6.954661433425692,6.958585771198942,5.923434385801398,5.9297318401965935
8.99397908521767,8.925551823171459,7.937656835363633,7.981260446763495,6.891267290748507,6.965238800802664,5.826156651229557,5.940681852306275
8.990612097221248,8.97291552457359,7.966243827758438,7.983748663425738,6.9386651789359455,6.969317040904905,5.897558585820278,5.945573432396741
8.995653846791797,8.907419697131715,7.981165969708895,7.986011269503479,6.965122371288928,6.9728441213688885,5.93698335650746,5.950107436093246
8.992693694708422,8.953881060320828,7.959184738155127,7.987611134456253,6.927214005441767,6.976308217002563,5.872217452026867,5.95730228388359
8.994535250813723,8.921647598161362,7.970589034666831,7.948195391452035,6.946496008083715,6.9119105084498695,5.9084956126184185,5.855568630131144
8.993142959337856,8.931892012234297,7.969291230436751,7.97259598229927,6.942263379941547,6.948557197176699,5.9010664798181764,5.929935599849344
8.995024585733663,8.898551523118982,7.959322329357812,7.958160923425495,6.924164751470854,6.918516564527652,5.863249139703052,5.869833601889043
8.992223703450545,8.937288697999744,7.96315883699614,7.959568032293587,6.933741346587725,6.931310092808869,5.881409190882033,5.8948471212869435
8.994592325821824,8.93808542631959,7.974955520166852,7.98339778051495,6.952587194967758,6.969258136490384,5.924215666974688,5.952915146273221
8.995390951752036,8.943576543844262,7.968328744590287,7.989208552060727,6.941287519444092,6.979102131812752,5.902469671094015,5.962120287751448
8.994242161140619,8.88949516252142,7.941076944442328,7.982116174516072,6.8977995228695566,6.967495635410737,5.8589186106980655,5.940020637795394
