dimension,precision_at_10,explained_variance
4,0.7621875,0.25788035400525866
8,0.78,0.3351574758072904
12,0.7956249999999999,0.3886118836072023
16,0.8071875000000001,0.4320851013732853
20,0.8146875,0.46977883073583837
24,0.8259375,0.5024000843119246
28,0.83625,0.5319428068978463
32,0.8459375000000001,0.5568684559914236
36,0.853125,0.5809379410597312
40,0.8628125000000001,0.6028641563948047
44,0.8728125,0.6239782946412074
48,0.8765625,0.6433855411270234
52,0.8834375000000001,0.6616781296918577
56,0.8878125000000001,0.6796181082851223
60,0.8990625000000001,0.695588143279064
64,0.9037500000000002,0.7114155760286142
68,0.911875,0.7262262651736064
72,0.91375,0.7403807159964222
76,0.920625,0.7541264980111186
80,0.9262500000000001,0.7664860800234246
84,0.9318750000000001,0.7790432809280303
88,0.9356250000000002,0.7905441743422874
92,0.934375,0.8012921423222005
96,0.9428125000000002,0.8122070198288115
100,0.946875,0.8220437461900509
104,0.9478125000000001,0.8318269655355179
108,0.9503125000000001,0.8410537999314275
112,0.9574999999999999,0.8499042746250542
116,0.9590624999999999,0.8581165176348188
120,0.9590625000000002,0.8661990848210613
124,0.96125,0.8738130188794155
128,0.9621875000000001,0.8811998191456274
132,0.96125,0.8878218457980613
136,0.9706250000000001,0.8947281827499085
140,0.9709375000000001,0.9007598721748142
144,0.968125,0.9069722536424566
148,0.9725000000000001,0.9127187266179371
152,0.971875,0.9182396877605653
156,0.9746875000000002,0.9234587393121632
160,0.9731250000000001,0.9283480471472769
164,0.9753125,0.9331271250479787
168,0.9790625000000001,0.9374829007841146
172,0.9793750000000001,0.9417245649021215
176,0.9809375000000001,0.9456959149447904
180,0.978125,0.9494630094975007
184,0.9787500000000001,0.9529658365654463
188,0.9800000000000001,0.9563752770714301
192,0.9800000000000001,0.9596656382951846
196,0.9806250000000001,0.9627181646569486
200,0.9815625000000001,0.9655590970966963
204,0.9803125000000001,0.9682873573163657
208,0.98125,0.9707731343021926
212,0.9818750000000002,0.9731822016963706
216,0.9853125000000003,0.9753908685337902
220,0.9862500000000001,0.977503019243117
224,0.985,0.9794981669210879
228,0.985625,0.9813807856288536
232,0.9887499999999999,0.9830766417415782
236,0.9875,0.9847542942838199
240,0.9896875000000002,0.9862700940524762
244,0.990625,0.9876552450222229
248,0.9912500000000002,0.9889644884833246
252,0.9915624999999999,0.9901671246026382
256,0.9925,0.9913759864281184
260,0.9934375,0.9924078899441353
264,0.9925,0.99336898427568
268,0.9931249999999998,0.99423618778571
272,0.9934375,0.995043084387669
276,0.9943750000000001,0.9957748975268169
280,0.9949999999999999,0.9964442542354828
284,0.9949999999999999,0.9970501082481523
288,0.9959374999999999,0.9975939448208129
292,0.9953125,0.9980768436103091
296,0.9959374999999999,0.9985184160492571
300,0.9974999999999999,0.9989005487619302
304,0.9974999999999999,0.9992316805180603
308,0.9981249999999999,0.9995145932359425
312,0.9990625000000002,0.9997423805003705
316,0.9996875,0.9999154069252005
320,1.0,1.0
