k,model,crossover_dimension
5,Logistic,113.67767767767768
5,Log,264.0944926283101
5,Exponential,277.9404490949687
10,Logistic,111.75975975975976
10,Log,243.8233490250694
10,Exponential,232.5448270298934
15,Logistic,113.1981981981982
15,Log,245.18601905984724
15,Exponential,230.32509069172372
