dimension,query_time
4,0.0009999167919158935
8,0.0009800195693969727
16,0.000986309051513672
32,0.0010419762134552001
64,0.0010851991176605224
128,0.0011252772808074951
256,0.0012850403785705567
512,0.001663815975189209
