dimension,avg_image_entropy,avg_caption_entropy
4,1.3786965192266036,1.4436263907062936
6,2.1149757062999734,2.145331351002821
8,2.5995551608290413,2.633928816283335
10,2.969091852124632,2.9960886720659405
12,3.26992562486657,3.2889990820466024
14,3.5213116465100116,3.5369184867657917
16,3.7373024444498233,3.7513420429612805
18,3.92249693109337,3.939051429142477
20,4.0879308631972915,4.106295165826702
22,4.2387724867637395,4.256433740523561
24,4.3756057800795345,4.391797068782448
26,4.503041869931408,4.516450882329087
28,4.617411897325431,4.631876981140187
30,4.72447599055624,4.738327044332272
32,4.825204585124889,4.837741133866727
34,4.918712001428477,4.930859728487235
36,5.007091391728768,5.019490450522783
38,5.091144289388266,5.102040349304733
40,5.169492521252253,5.181142150451423
42,5.244463285979998,5.254861658845363
44,5.315627855640459,5.325390588239731
46,5.384051567665644,5.3937960612245925
48,5.449490921977021,5.458643356858994
50,5.5114352763161545,5.520560021475157
52,5.572822847796862,5.5807613610901265
54,5.629936651983649,5.63770734206345
56,5.685249344859846,5.6933446062689095
58,5.738999611833511,5.74596810535793
60,5.790670508646089,5.797872329631886
62,5.84012444433402,5.8479835836182605
64,5.888674203037084,5.89457292833376
66,5.9354744939682655,5.941458290959702
68,5.980158884445281,5.987037019603776
70,6.02416880520571,6.030019752962687
72,6.066432506406129,6.072202334158275
74,6.108663960666888,6.114588204594789
76,6.1485672790741965,6.153871252113344
78,6.187763669330716,6.192912514075042
80,6.226176897324549,6.231055904393534
82,6.26330257964632,6.267727215334167
84,6.299460275811556,6.3046222140085515
86,6.3349994416134905,6.339641690941251
88,6.369861210545374,6.3741545760210165
90,6.403683524821196,6.407564559117182
92,6.436996159246727,6.4402952258891855
94,6.469111305139283,6.472617074638073
96,6.5009000345754195,6.504574647032621
98,6.5318463056819205,6.535256740710388
100,6.5621753032566765,6.565636269678675
102,6.5917542375332685,6.594838350387902
104,6.620981220659947,6.624250603083684
106,6.649497660416467,6.6526871622664405
108,6.677497610321189,6.680499646929393
110,6.7050014319977045,6.707885865122336
112,6.732109212420006,6.7347972721597795
114,6.758689457511407,6.760988627475335
116,6.784527900336337,6.787004280653514
118,6.810179092184011,6.8128791611791675
120,6.835349607433728,6.837748953108874
122,6.860080248762957,6.862290242963919
124,6.884436623967232,6.886629737408967
126,6.908322671001615,6.910198376098119
128,6.9318548657555965,6.933702951282172
